id,title,odometer,location,isimported,engine,transmission,fuel,paint,year,target,brand
237,Toyota Matrix,103796,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,blue,2003,1765000,Toyota
238,Hyundai Elantra,159486,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,white,2014,4740000,Hyundai
239,Toyota Corolla,28596,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2017,7365000,Toyota
240,Mercedes-Benz GLK 350,97485,Lagos,Locally used,6-cylinder(I6),automatic,petrol,white,2013,6615000,Mercedes-Benz
241,Toyota Sienna,12004,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,silver,2019,17815000,Toyota
242,Mercedes-Benz C 250,13655,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2018,18515000,Mercedes-Benz
243,Toyota Matrix,104834,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,red,2010,2715000,Toyota
244,Mercedes-Benz ML 430,248501,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2001,2515000,Mercedes-Benz
245,Honda Accord,120447,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2008,2955000,Honda
246,Lexus RX 300,96386,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2004,3315000,Lexus
247,Toyota Sienna,85240,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,white,2009,3315000,Toyota
248,Mack CH613,608765,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,1996,9015000,Mack
249,Honda CR-V,110408,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,silver,2005,1830000,Honda
250,Lexus ES 350,64666,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2010,3315000,Lexus
251,Toyota Camry,153760,Lagos,Locally used,4-cylinder(I4),automatic,petrol,grey,2002,1215000,Toyota
252,Toyota Camry,85963,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,black,2010,3315000,Toyota
253,Honda Element,310009,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,blue,2006,2340000,Honda
254,Toyota Corolla,182079,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2006,2665000,Toyota
255,Acura MDX,220475,Abuja,Locally used,6-cylinder(V6),automatic,petrol,grey,2003,1615000,Acura
256,Toyota Camry,16786,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,white,2018,13780000,Toyota
257,Toyota Corolla,226206,Lagos,Locally used,4-cylinder(I4),automatic,petrol,blue,2010,1445000,Toyota
258,Toyota Sienna,137140,FCT,Foreign Used,4-cylinder(I4),automatic,petrol,gold,2002,2115000,Toyota
259,Hyundai Sonata,72093,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,wine,2011,3315000,Hyundai
260,Mercedes-Benz GLC 300,0,Abuja,Foreign Used,6-cylinder(I6),automatic,petrol,white,2018,18515000,Mercedes-Benz
261,Mercedes-Benz CLA 250,79549,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,black,2014,12665000,Mercedes-Benz
262,Lexus GX 460,112994,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,black,2013,16515000,Lexus
263,Lexus RX 300,215213,Abuja,Foreign Used,6-cylinder(V6),automatic,petrol,grey,1999,2315000,Lexus
264,Hyundai Sonata,92832,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2016,3515000,Hyundai
265,Lexus LX 570,8801,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,black,2018,54615000,Lexus
266,Honda Accord,139823,Lagos,Locally used,4-cylinder(I4),automatic,petrol,black,2001,615000,Honda
267,Toyota Corolla,118928,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2015,6065000,Toyota
268,Toyota Camry,100801,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,red,2012,5015000,Toyota
269,Toyota Highlander,121611,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,silver,2010,6315000,Toyota
270,Toyota Sienna,69150,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,black,2015,12515000,Toyota
271,Mercedes-Benz E 350,78993,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2014,12090000,Mercedes-Benz
272,Toyota Corolla,90638,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,blue,2012,3865000,Toyota
273,Toyota Corolla,97587,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2010,3205000,Toyota
274,Hyundai Santa Fe,323316,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,grey,2008,3865000,Hyundai
275,Volkswagen LT,181081,Lagos,Locally used,4-cylinder(I4),manual,diesel,white,1991,4515000,Volkswagen
276,Ford Explorer,30159,Abuja,Foreign Used,6-cylinder(V6),automatic,petrol,grey,2012,6715000,Ford
277,Lexus GX 460,32021,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,silver,2015,16215000,Lexus
278,Mercedes-Benz GL 450,100605,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,white,2013,10515000,Mercedes-Benz
279,Kia Cerato,48254,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,red,2014,3515000,Kia
280,Toyota Camry,327235,Lagos,Locally used,4-cylinder(I4),automatic,petrol,grey,2003,1225000,Toyota
281,Chevrolet Evanda,98717,Abuja,Locally used,6-cylinder(I6),automatic,petrol,black,2010,3915000,Chevrolet
282,Toyota Corolla,155802,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2003,2215000,Toyota
283,Iveco TRUCK,287016,Lagos,Locally used,6-cylinder(V6),manual,diesel,blue,2005,10015000,Iveco
284,Toyota RAV 4,55400,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2008,3865000,Toyota
285,Toyota Camry,146287,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,red,2007,2415000,Toyota
286,Toyota RAV 4,81398,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,blue,2015,8100000,Toyota
287,Mercedes-Benz GL 450,179659,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,black,2012,9915000,Mercedes-Benz
288,Acura ZDX,66582,Lagos,Locally used,6-cylinder(V6),automatic,petrol,white,2010,4745000,Acura
289,Toyota Corolla,45353,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2011,3215000,Toyota
290,Honda Accord,53364,Lagos,Locally used,6-cylinder(V6),automatic,petrol,wine,2007,865000,Honda
291,Toyota Highlander,30951,Lagos State,Foreign Used,6-cylinder(V6),automatic,petrol,silver,2017,16015000,Toyota
292,Mercedes-Benz 450,165777,Abuja,Foreign Used,8-cylinder(V8),automatic,petrol,grey,2016,7515000,Mercedes-Benz
293,Toyota RAV 4,36295,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2016,9815000,Toyota
294,Mercedes-Benz GLA 250,21944,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2019,22015000,Mercedes-Benz
295,Toyota Land Cruiser,46,Lagos,New ,4-cylinder(I4),automatic,petrol,black,2019,37015000,Toyota
296,Lexus ES 350,136113,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,black,2009,3815000,Lexus
297,Toyota Camry,211407,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,white,2011,3015000,Toyota
298,Toyota Sienna,174488,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,gold,2004,3015009,Toyota
299,Toyota Corolla,154070,Lagos,Locally used,4-cylinder(I4),automatic,petrol,silver,2005,1775000,Toyota
300,Mercedes-Benz CLS 500,65000,Abuja,Foreign Used,8-cylinder(V8),automatic,petrol,white,2012,11515000,Mercedes-Benz
301,Scania P94 FLATBED,0,Lagos,Locally used,6-cylinder(I6),manual,diesel,red,1999,5360000,Scania
302,Toyota Corolla,10319,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2016,6315000,Toyota
303,Toyota Camry,2878,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,red,2019,23015000,Toyota
304,Lexus ES 350,78528,Accra,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2007,2315000,Lexus
305,Toyota Camry,112763,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2012,4215000,Toyota
306,Toyota Corolla,84073,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2013,3865000,Toyota
307,Toyota Corolla,92919,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2013,3215000,Toyota
308,Nissan Versa,124275,other,Foreign Used,4-cylinder(I4),automatic,petrol,blue,2015,3815000,Nissan
309,Lexus GX 460,65828,Abuja,Foreign Used,8-cylinder(V8),automatic,petrol,white,2015,19015000,Lexus
310,Ford F 150,146676,Ogun,Foreign Used,8-cylinder(V8),automatic,petrol,grey,2004,3165000,Ford
311,Honda Pilot,297333,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,silver,2010,4015000,Honda
312,Toyota Corolla,103994,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,black,2012,4015000,Toyota
313,Toyota RAV 4,252365,Lagos,Locally used,4-cylinder(I4),automatic,petrol,silver,2001,1280000,Toyota
314,Toyota Highlander,1522,Abuja,Foreign Used,6-cylinder(V6),automatic,petrol,white,2006,2815000,Toyota
315,Mercedes-Benz GLE 43 AMG,59715,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,white,2017,43015000,Mercedes-Benz
316,Honda Civic,24997,Abuja,New ,4-cylinder(I4),automatic,petrol,white,2018,8665000,Honda
317,Honda CR-V,23640,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2018,16515000,Honda
318,Volkswagen Golf,120676,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2005,1495000,Volkswagen
319,Honda Civic,149,Ogun,Locally used,4-cylinder(I4),automatic,petrol,red,2013,2535000,Honda
320,Toyota Highlander,169971,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,white,2008,5115000,Toyota
321,Toyota Sienna,106789,Lagos,Locally used,6-cylinder(I6),automatic,petrol,grey,2006,1015000,Toyota
322,Toyota Venza,76201,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2009,6315000,Toyota
323,Toyota Highlander,137117,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,grey,2006,3095000,Toyota
324,Toyota Avalon,134121,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2014,7575000,Toyota
325,Mercedes-Benz E 350,927,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,black,2016,18715000,Mercedes-Benz
326,Mercedes-Benz 320,174019,Lagos,Locally used,6-cylinder(I6),automatic,petrol,black,2001,925000,Mercedes-Benz
327,Toyota Camry,3656,Abuja,Foreign Used,4-cylinder(H4),automatic,petrol,silver,2020,20015000,Toyota
328,Honda Ridgeline,87064,Abuja,Foreign Used,6-cylinder(V6),automatic,petrol,white,2017,15240000,Honda
329,Toyota Venza,195775,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,white,2011,7365000,Toyota
330,Toyota Venza,64646,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2013,6945000,Toyota
331,Mazda CX-9,87856,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,blue,2009,3425000,Mazda
332,Mercedes-Benz S 450,90,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,black,2019,68265000,Mercedes-Benz
333,Toyota Avalon,37501,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,black,2006,2765000,Toyota
334,Toyota Camry,186051,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2012,3855000,Toyota
335,Mercedes-Benz 300,134999,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,black,2010,4965000,Mercedes-Benz
336,Mercedes-Benz ML 350,195268,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,silver,2006,3690000,Mercedes-Benz
337,Lexus RX 350,23330,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2015,8940000,Lexus
338,Honda Accord,111872,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2007,1775000,Honda
339,Kia Rio,153413,Lagos,Locally used,4-cylinder(I4),automatic,petrol,black,2005,455000,Kia
340,BMW 740,14565,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,black,2015,42015000,BMW
341,Land Rover Range Rover Sport,18720,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,grey,2019,117015000,Land
342,Ford Edge,149209,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,red,2015,9930000,Ford
343,Kia Sorento,55620,Lagos,Locally used,4-cylinder(I4),automatic,petrol,blue,2012,2015000,Kia
344,Lexus LX 570,24873,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2018,50015000,Lexus
345,Toyota Corolla,190480,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,gold,2010,3375000,Toyota
346,Toyota Corolla,163312,Lagos,Locally used,4-cylinder(I4),automatic,petrol,grey,2004,1445000,Toyota
347,Toyota Highlander,65040,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,blue,2014,6515000,Toyota
348,Land Rover Range Rover,77968,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2015,28015000,Land
349,Ford Edge,151669,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,blue,2011,5790000,Ford
350,Toyota Dyna,119294,Lagos,Locally used,4-cylinder(I4),automatic,petrol,white,1996,1015000,Toyota
351,Volvo FL6,0,Lagos,Locally used,6-cylinder(I6),manual,diesel,white,1996,6915000,Volvo
352,Toyota Coaster,0,Lagos,Locally used,4-cylinder(I4),manual,diesel,yellow,2014,16690000,Toyota
353,Toyota Corolla,21,Lagos State,New ,6-cylinder(V6),automatic,petrol,black,2019,33015000,Toyota
354,Toyota Corolla,2700,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2020,15015000,Toyota
355,Toyota Camry,50586,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,blue,2016,7015000,Toyota
356,Lexus RX 330,85441,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2004,4015000,Lexus
357,Hyundai ix35,101791,Lagos,Locally used,4-cylinder(I4),automatic,petrol,grey,2012,1995000,Hyundai
358,Toyota Corolla,144000,Lagos State,Foreign Used,4-cylinder(I4),automatic,petrol,black,2013,3215000,Toyota
359,Toyota Matrix,299999,Lagos,Locally used,4-cylinder(I4),automatic,petrol,red,2003,1445000,Toyota
360,Toyota Camry,123641,Lagos ,Foreign Used,5-cylinder(I5),automatic,petrol,silver,2014,5515000,Toyota
361,Toyota RAV 4,179982,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2004,2315000,Toyota
362,Chevrolet Camaro,66336,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,black,2013,7715000,Chevrolet
363,GAC Gonow Other,68308,Lagos,Locally used,4-cylinder(I4),automatic,petrol,gold,2016,1415000,GAC
364,Toyota Land Cruiser,81,other,New ,6-cylinder(V6),automatic,petrol,black,2019,33040000,Toyota
365,Toyota Corolla,182282,Lagos,Locally used,4-cylinder(I4),automatic,petrol,black,2008,1225000,Toyota
366,Toyota Camry,22494,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2012,3535000,Toyota
367,IVECO EUROTECH 7.50E-16,111817,Lagos,Locally used,4-cylinder(I4),manual,diesel,white,2001,6015000,IVECO
368,Toyota Highlander,219407,Ogun,Locally used,6-cylinder(I6),automatic,petrol,blue,2006,1665000,Toyota
369,Toyota Corolla,110515,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,white,2011,3645000,Toyota
370,Ford Explorer,78551,Lagos,Locally used,6-cylinder(V6),automatic,petrol,black,2013,8015000,Ford
371,Mercedes-Benz CLA 250,61886,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2014,9915000,Mercedes-Benz
372,Toyota Camry,0,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,blue,2003,1715000,Toyota
373,DAF FA 55. 180,458300,Lagos,Locally used,4-cylinder(I4),manual,diesel,red,1999,3415000,DAF
374,Toyota Camry,94803,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2007,3315000,Toyota
375,Toyota Camry,121000,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2012,4635000,Toyota
376,Honda Accord,16703,Lagos,Locally used,4-cylinder(I4),automatic,petrol,ash,2013,2985000,Honda
377,Toyota Camry,16,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2014,50415000,Toyota
378,Mercedes-Benz C 300,99819,Lagos,Locally used,6-cylinder(V6),automatic,petrol,black,2010,3645000,Mercedes-Benz
379,Ford F 150,207762,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2006,3215000,Ford
380,Toyota Highlander,55028,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,blue,2014,13515000,Toyota
381,Ford Explorer,42164,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,white,2017,15015000,Ford
382,GAC Gonow Other,84607,Lagos,Locally used,4-cylinder(I4),automatic,petrol,black,2016,1515000,GAC
383,Mack CH613,0,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,1995,8015000,Mack
384,Toyota Matrix,197541,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2007,2215000,Toyota
385,Lexus RX 350,103679,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,black,2007,5185000,Lexus
386,Mercedes-Benz C 300,69987,Lagos ,Foreign Used,4-cylinder(I4),automatic,petrol,red,2012,5415000,Mercedes-Benz
387,Toyota Camry,156877,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,blue,2012,4980000,Toyota
388,Toyota Camry,84774,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2013,5515000,Toyota
389,Mercedes-Benz GL 450,205040,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,white,2007,5475000,Mercedes-Benz
390,Mack CH613 CONVENTIONAL CAB,456789,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,1991,7015000,Mack
391,Honda Accord,9346,Abuja,New ,4-cylinder(I4),automatic,petrol,black,2019,10515000,Honda
392,Scania TRACTOR HEAD,0,Lagos,Locally used,6-cylinder(I6),manual,diesel,white,2005,9215000,Scania
393,Lexus IS 250,56242,Lagos,Locally used,6-cylinder(V6),automatic,petrol,black,2007,2535000,Lexus
394,Nissan Xterra,242564,Lagos,Locally used,6-cylinder(I6),automatic,petrol,black,2000,865000,Nissan
395,Toyota Corolla,238185,Abuja,Locally used,4-cylinder(I4),automatic,petrol,black,2006,1665000,Toyota
396,Ford Explorer,119404,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,purple,2011,4915000,Ford
397,Hyundai Tucson,125176,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,white,2006,2165000,Hyundai
398,Mercedes-Benz GL 450,146837,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,black,2008,5515000,Mercedes-Benz
399,Toyota Corolla,156962,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2015,4965000,Toyota
400,Mercedes-Benz C 300,45000,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,black,2013,7515000,Mercedes-Benz
401,Lexus LX 570,85254,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,black,2008,19595000,Lexus
402,Honda Crosstour,111950,Ogun,Locally used,4-cylinder(I4),automatic,petrol,black,2010,2640000,Honda
403,Toyota Corolla,127308,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2010,3535000,Toyota
404,Mercedes-Benz ML 320,102058,Lagos,Locally used,6-cylinder(I6),automatic,petrol,silver,1998,895000,Mercedes-Benz
405,Toyota RAV 4,48706,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,blue,2013,7715000,Toyota
406,Toyota Camry,89538,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2012,4320000,Toyota
407,Toyota Camry,192395,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2007,3007500,Toyota
408,Toyota Camry,76340,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2010,3415000,Toyota
409,Toyota Highlander,222618,Lagos,Locally used,6-cylinder(V6),automatic,petrol,grey,2001,1610000,Toyota
410,Toyota Camry,204396,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2004,1940000,Toyota
411,Toyota Corolla,1296,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2018,12445000,Toyota
412,Toyota 4-Runner,240122,Lagos,Locally used,8-cylinder(V8),automatic,petrol,green,2003,1290000,Toyota
413,Honda CR-V,69377,Lagos,Locally used,4-cylinder(I4),automatic,petrol,blue,2008,1865000,Honda
414,Toyota Camry,8153,Abuja ,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2020,17515000,Toyota
415,Lexus RX 350,71621,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,black,2012,7815000,Lexus
416,Toyota RAV 4,83320,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,red,2015,8015000,Toyota
417,Ford Focus,107576,Abia State,Locally used,4-cylinder(I4),automatic,petrol,black,2011,1012500,Ford
418,Toyota Sienna,93233,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,grey,2011,4665000,Toyota
419,Mercedes-Benz CLS 500,84969,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,wine,2009,9415000,Mercedes-Benz
420,Kia Optima,73011,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2013,5790000,Kia
421,Toyota Highlander,66551,Lagos,Locally used,6-cylinder(V6),automatic,petrol,black,2009,2875000,Toyota
422,Toyota Land Cruiser,47,Lagos,New ,4-cylinder(I4),automatic,petrol,black,2020,65015000,Toyota
423,Mercedes-Benz 220,149559,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2013,10515000,Mercedes-Benz
424,Mercedes-Benz ML 350,101523,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,grey,2014,12615000,Mercedes-Benz
425,Toyota Camry,140285,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,white,2007,2490000,Toyota
426,Toyota Camry,111194,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,white,2011,2865000,Toyota
427,Toyota Camry,200000,Lagos,Locally used,4-cylinder(I4),automatic,petrol,black,2003,1065000,Toyota
428,Man Truck 18.44,0,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,2008,12015000,Man
429,Toyota Highlander,42085,Abuja,Foreign Used,6-cylinder(I6),automatic,petrol,grey,2016,15215000,Toyota
430,Toyota Camry,57259,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2011,3715000,Toyota
431,BMW 730,467,Lagos,New ,4-cylinder(I4),automatic,petrol,black,2020,68265000,BMW
432,Lexus RX 350,13572,Lagos,Locally used,6-cylinder(V6),automatic,petrol,black,2012,7715000,Lexus
433,Toyota Highlander,42624,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,gold,2014,12515000,Toyota
434,Peugeot 607,159448,Abuja,Foreign Used,6-cylinder(I6),automatic,petrol,blue,2009,2085000,Peugeot
435,BMW 528,156763,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,white,2014,7890000,BMW
436,Toyota Camry,76839,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2015,6015000,Toyota
437,Toyota Camry,43989,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2018,14515000,Toyota
438,Toyota Matrix,65483,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,blue,2009,3315000,Toyota
439,Hyundai Tucson,87510,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,black,2006,2545000,Hyundai
440,Toyota Corolla,102502,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,red,2012,3865000,Toyota
441,Mercedes-Benz E 350,122558,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2008,3975000,Mercedes-Benz
442,Toyota RAV 4,132392,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,red,2007,4575000,Toyota
443,Toyota RAV 4,122397,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,red,2013,7895000,Toyota
444,Mercedes-Benz E 350,28399,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,black,2016,13665000,Mercedes-Benz
445,Volvo XC60,52301,Ogun,Locally used,4-cylinder(I4),automatic,petrol,white,2010,3165000,Volvo
446,Mercedes-Benz E 200,92440,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,black,2013,5790000,Mercedes-Benz
447,Mercedes-Benz ML 350,66834,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,white,2011,6515000,Mercedes-Benz
448,Toyota Corolla,120846,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,red,2015,5002500,Toyota
449,Toyota Corolla,144211,Lagos,Locally used,4-cylinder(I4),automatic,petrol,silver,2008,1995000,Toyota
450,Toyota Camry,234235,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,blue,2007,3205000,Toyota
451,Honda Accord,235471,Ogun,Locally used,4-cylinder(I4),automatic,petrol,blue,2003,515000,Honda
452,Volkswagen Passat,180869,Lagos,Locally used,4-cylinder(I4),automatic,petrol,black,2001,400000,Volkswagen
453,Toyota Camry,116617,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2007,2415000,Toyota
454,Ford Edge,198940,Abuja,Locally used,6-cylinder(V6),automatic,petrol,wine,2011,3715000,Ford
455,Toyota Sienna,68259,Abuja,Foreign Used,6-cylinder(V6),automatic,petrol,silver,2005,3315000,Toyota
456,Volkswagen Sharan,137820,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,red,1996,1515000,Volkswagen
457,Honda CR-V,194140,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,silver,2012,8265000,Honda
458,Toyota Corolla,279634,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,red,2007,2415000,Toyota
459,Toyota RAV 4,49355,Lagos State,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2015,8015000,Toyota
460,Toyota Camry,258528,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2011,2765000,Toyota
461,Toyota Sienna,48485,Abuja,Foreign Used,6-cylinder(I6),automatic,petrol,silver,2008,3515000,Toyota
462,Toyota Highlander,121044,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,black,2008,5515000,Toyota
463,Toyota RAV 4,188936,Lagos,Locally used,4-cylinder(I4),automatic,petrol,silver,2002,1225000,Toyota
464,Toyota 4-Runner,98424,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,gold,2004,3515000,Toyota
465,Nissan Altima,158404,Lagos,Locally used,4-cylinder(I4),automatic,petrol,yellow,2002,815000,Nissan
466,Hyundai Elantra,108957,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2011,4195000,Hyundai
467,Lexus GX 470,85262,Lagos,Locally used,8-cylinder(V8),automatic,petrol,white,2003,2325000,Lexus
468,Toyota RAV 4,63529,Lagos State,Foreign Used,6-cylinder(I6),automatic,petrol,white,2014,8215000,Toyota
469,Honda Pilot,185689,Abuja,Locally used,4-cylinder(I4),automatic,petrol,black,2006,1615000,Honda
470,Toyota Camry,22614,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,black,2014,5575000,Toyota
471,Toyota Sienna,95471,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,grey,2011,5295000,Toyota
472,Toyota Highlander,151680,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,grey,2009,5215000,Toyota
473,Toyota Corolla,147186,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,red,2006,2315000,Toyota
